valor_original,valor_normalizado,codigo_dane,metodo,confianza,revisado
ACHI,ACHI,13006,exact,100.00,True
ACHI - BOLIVAR,ACHI BOLIVAR,13006,exact,99.00,True
ACHI BOLIVAR,ACHI BOLIVAR,13006,exact,99.00,True
ACHI-BOLIVAR,ACHI BOLIVAR,13006,exact,99.00,True
AGRADO HUILA,AGRADO HUILA,41013,exact,99.00,True
AGUA DE DIOS - CUNDINAMARCA,AGUA DE DIOS CUNDINAMARCA,25001,exact,99.00,True
AGUA DE DIOS-CUNDINAMARCA,AGUA DE DIOS CUNDINAMARCA,25001,exact,99.00,True
AGUACHICA,AGUACHICA,20011,exact,100.00,True
"AGUACHICA ,",AGUACHICA,20011,exact,100.00,True
AGUACHICA - CESAR,AGUACHICA CESAR,20011,exact,99.00,True
AGUACHICA CESAR,AGUACHICA CESAR,20011,exact,99.00,True
"AGUACHICA, CESAR",AGUACHICA CESAR,20011,exact,99.00,True
AGUACHICA- CESAR,AGUACHICA CESAR,20011,exact,99.00,True
AGUACHICA-CESAR,AGUACHICA CESAR,20011,exact,99.00,True
"AGUADA , SANTANDER",AGUADA SANTANDER,68013,exact,99.00,True
AGUADA SANTANDER,AGUADA SANTANDER,68013,exact,99.00,True
AGUADA-SANTANDER,AGUADA SANTANDER,68013,exact,99.00,True
AGUADAS,AGUADAS,17013,exact,100.00,True
AGUADAS - CALDAS,AGUADAS CALDAS,17013,exact,99.00,True
AGUADAS CALDAS,AGUADAS CALDAS,17013,exact,99.00,True
AGUADAS-CALDAS,AGUADAS CALDAS,17013,exact,99.00,True
AGUAZUL CASANARE ||,AGUAZUL CASANARE,85010,exact,99.00,True
"AGUAZUL, CASANARE",AGUAZUL CASANARE,85010,exact,99.00,True
AGUAZUL-CASANARE,AGUAZUL CASANARE,85010,exact,99.00,True
AGUSTIN CODAZZI  CESAR,AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
AGUSTIN CODAZZI - CESAR,AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
AGUSTIN CODAZZI CESAR,AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
"AGUSTÍN CODAZZI , CESAR",AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
AGUSTÍN CODAZZI-CESAR,AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
AIPE,AIPE,41016,exact,100.00,True
AIPE - HUILA,AIPE HUILA,41016,exact,99.00,True
AIPE HUILA,AIPE HUILA,41016,exact,99.00,True
AIPE – HUILA,AIPE HUILA,41016,exact,99.00,True
AIPE-HUILA,AIPE HUILA,41016,exact,99.00,True
ALBANIA - LA GUAJIRA,ALBANIA LA GUAJIRA,44035,exact,97.00,True
ALBANIA -LA GUAJIRA,ALBANIA LA GUAJIRA,44035,exact,97.00,True
ALBANIA LA GUAJIRA,ALBANIA LA GUAJIRA,44035,exact,97.00,True
ALBANIA-LA GUAJIRA,ALBANIA LA GUAJIRA,44035,exact,97.00,True
ALBÁN CUNDINAMARCA,ALBAN CUNDINAMARCA,25019,exact,97.00,True
ALCALÁ,ALCALA,76020,exact,100.00,True
ALCALÁ VALLE DEL CAUCA,ALCALA VALLE DEL CAUCA,76020,exact,99.00,True
ALDANA NARIÑO,ALDANA NARINO,52022,exact,99.00,True
ALGARROBO,ALGARROBO,47030,exact,100.00,True
"ALGARROBO , MAGDALENA",ALGARROBO MAGDALENA,47030,exact,99.00,True
ALGECIRAS,ALGECIRAS,41020,exact,100.00,True
ALGECIRAS - HUILA,ALGECIRAS HUILA,41020,exact,99.00,True
ALGECIRAS HUILA,ALGECIRAS HUILA,41020,exact,99.00,True
ALMAGUER,ALMAGUER,19022,exact,100.00,True
ALMEIDA BOYACÁ,ALMEIDA BOYACA,15022,exact,99.00,True
ALMEIDA- BOYACÁ,ALMEIDA BOYACA,15022,exact,99.00,True
ALTAMIRA,ALTAMIRA,41026,exact,100.00,True
ALTOS  DEL ROSARIO,ALTOS DEL ROSARIO,13030,exact,100.00,True
ALTOS DEL ROSARIO BOLIVAR,ALTOS DEL ROSARIO BOLIVAR,13030,exact,99.00,True
ALTOS DEL ROSARIO-BOLIVAR,ALTOS DEL ROSARIO BOLIVAR,13030,exact,99.00,True
ALVARADO - TOLIMA,ALVARADO TOLIMA,73026,exact,99.00,True
ALVARADO-TOLIMA,ALVARADO TOLIMA,73026,exact,99.00,True
AMAGA,AMAGA,5030,exact,100.00,True
"AMALFI , ANTIOQUIA",AMALFI ANTIOQUIA,5031,exact,99.00,True
AMALFI ANTIOQUIA,AMALFI ANTIOQUIA,5031,exact,99.00,True
AMBALEMA,AMBALEMA,73030,exact,100.00,True
AMBALEMA - TOLIMA,AMBALEMA TOLIMA,73030,exact,99.00,True
AMBALEMA -TOLIMA,AMBALEMA TOLIMA,73030,exact,99.00,True
AMBALEMA TOLIMA,AMBALEMA TOLIMA,73030,exact,99.00,True
AMBALEMA-TOLIMA,AMBALEMA TOLIMA,73030,exact,99.00,True
ANAPOIMA - CUNDINAMARCA,ANAPOIMA CUNDINAMARCA,25035,exact,99.00,True
ANAPOIMA CUNDINAMARCA,ANAPOIMA CUNDINAMARCA,25035,exact,99.00,True
ANCUYA,ANCUYA,52036,exact,100.00,True
ANCUYA - NARIÑO,ANCUYA NARINO,52036,exact,99.00,True
ANCUYA NARIÑO,ANCUYA NARINO,52036,exact,99.00,True
ANDALUCIA,ANDALUCIA,76036,exact,100.00,True
ANDALUCIA - VALLE DEL CAUCA,ANDALUCIA VALLE DEL CAUCA,76036,exact,99.00,True
ANDALUCIA-VALLE DEL CAUCA,ANDALUCIA VALLE DEL CAUCA,76036,exact,99.00,True
ANDES,ANDES,5034,exact,100.00,True
ANDES ANTIOQUIA,ANDES ANTIOQUIA,5034,exact,99.00,True
ANGOSTURA,ANGOSTURA,5038,exact,100.00,True
ANGOSTURA - ANTIOQUIA,ANGOSTURA ANTIOQUIA,5038,exact,99.00,True
ANGOSTURA ANTIOQUIA,ANGOSTURA ANTIOQUIA,5038,exact,99.00,True
ANOLAIMA,ANOLAIMA,25040,exact,100.00,True
ANOLAIMA - CUNDINAMARCA,ANOLAIMA CUNDINAMARCA,25040,exact,99.00,True
ANOLAIMA CUNDINAMARCA,ANOLAIMA CUNDINAMARCA,25040,exact,99.00,True
ANORI ANTIOQUIA,ANORI ANTIOQUIA,5040,exact,99.00,True
ANSERMA,ANSERMA,17042,exact,100.00,True
ANSERMA  CALDAS,ANSERMA CALDAS,17042,exact,99.00,True
"ANSERMA , CALDAS",ANSERMA CALDAS,17042,exact,99.00,True
ANSERMA - CALDAS,ANSERMA CALDAS,17042,exact,99.00,True
ANSERMA CALDAS,ANSERMA CALDAS,17042,exact,99.00,True
ANSERMA-CALDAS,ANSERMA CALDAS,17042,exact,99.00,True
ANTIOQUIA - COLOMBIA,ANTIOQUIA COLOMBIA,41206,exact,99.00,True
ANZOATEGUI TOLIMA,ANZOATEGUI TOLIMA,73043,exact,99.00,True
APARTADO,APARTADO,5045,exact,100.00,True
APARTADO ANTIOQUIA,APARTADO ANTIOQUIA,5045,exact,99.00,True
APARTADÓ,APARTADO,5045,exact,100.00,True
"APARTADÓ , ANTIOQUIA",APARTADO ANTIOQUIA,5045,exact,99.00,True
APARTADÓ - ANTIOQUIA,APARTADO ANTIOQUIA,5045,exact,99.00,True
APARTADÓ ANTIOQUIA,APARTADO ANTIOQUIA,5045,exact,99.00,True
APARTADÓ – - ANTIOQUIA,APARTADO ANTIOQUIA,5045,exact,99.00,True
APARTADÓ-ANTIOQUIA,APARTADO ANTIOQUIA,5045,exact,99.00,True
APIA,APIA,66045,exact,100.00,True
"APIA , RISARALDA",APIA RISARALDA,66045,exact,99.00,True
APIA - RISARALDA,APIA RISARALDA,66045,exact,99.00,True
APIA RISARALDA,APIA RISARALDA,66045,exact,99.00,True
APULO - CUNDINAMARCA,APULO CUNDINAMARCA,25599,exact,99.00,True
APULO CUNDINAMARCA,APULO CUNDINAMARCA,25599,exact,99.00,True
AQUITANIA - BOYACA,AQUITANIA BOYACA,15047,exact,99.00,True
AQUITANIA BOYACÁ,AQUITANIA BOYACA,15047,exact,99.00,True
ARACATACA,ARACATACA,47053,exact,100.00,True
"ARACATACA ,MAGDALENA",ARACATACA MAGDALENA,47053,exact,99.00,True
ARACATACA - MAGDALENA,ARACATACA MAGDALENA,47053,exact,99.00,True
ARACATACA -MAGDALENA,ARACATACA MAGDALENA,47053,exact,99.00,True
ARACATACA MAGDALENA,ARACATACA MAGDALENA,47053,exact,99.00,True
ARANZAZU,ARANZAZU,17050,exact,100.00,True
ARANZAZU - CALDAS,ARANZAZU CALDAS,17050,exact,99.00,True
ARANZAZU CALDAS,ARANZAZU CALDAS,17050,exact,99.00,True
ARATOCA - Santander,ARATOCA SANTANDER,68051,exact,99.00,True
ARATOCA SANTANDER,ARATOCA SANTANDER,68051,exact,99.00,True
ARAUCA,ARAUCA,81001,exact,100.00,True
ARAUCA  ARAUCA,ARAUCA ARAUCA,81001,exact,99.00,True
ARAUCA ARAUCA,ARAUCA ARAUCA,81001,exact,99.00,True
ARAUCA-ARAUCA,ARAUCA ARAUCA,81001,exact,99.00,True
ARAUQUITA - ARAUCA,ARAUQUITA ARAUCA,81065,exact,99.00,True
ARAUQUITA -ARAUCA,ARAUQUITA ARAUCA,81065,exact,99.00,True
ARAUQUITA ARAUCA,ARAUQUITA ARAUCA,81065,exact,99.00,True
ARBELAEZ,ARBELAEZ,25053,exact,100.00,True
ARBELAEZ CUNDINAMARCA,ARBELAEZ CUNDINAMARCA,25053,exact,99.00,True
ARBOLEDA ANTIOQUIA,ARBOLEDA ANTIOQUIA,52051,exact,99.00,True
ARCABUCO,ARCABUCO,15051,exact,100.00,True
ARCABUCO BOYACA,ARCABUCO BOYACA,15051,exact,99.00,True
ARGELIA ANTIOQUIA,ARGELIA ANTIOQUIA,5055,exact,97.00,True
ARIGUANI,ARIGUANI,47058,exact,100.00,True
ARJONA,ARJONA,13052,exact,100.00,True
ARJONA  BOLIVAR,ARJONA BOLIVAR,13052,exact,99.00,True
ARJONA - BOLIVAR,ARJONA BOLIVAR,13052,exact,99.00,True
ARJONA BOLIVAR,ARJONA BOLIVAR,13052,exact,99.00,True
ARJONA – BOLIVAR,ARJONA BOLIVAR,13052,exact,99.00,True
ARJONA-BOLIVAR,ARJONA BOLIVAR,13052,exact,99.00,True
ARMENIA QUINDIO,ARMENIA QUINDIO,63001,exact,97.00,True
"ARMENIA, QUINDIO",ARMENIA QUINDIO,63001,exact,97.00,True
ARMERO,ARMERO,73055,exact,100.00,True
ARROYOHONDO BOLIVAR,ARROYOHONDO BOLIVAR,13062,exact,99.00,True
ASTREA,ASTREA,20032,exact,100.00,True
ASTREA CESAR,ASTREA CESAR,20032,exact,99.00,True
ATACO - TOLIMA,ATACO TOLIMA,73067,exact,99.00,True
ATACO -TOLIMA,ATACO TOLIMA,73067,exact,99.00,True
ATLANTICO Soledad,ATLANTICO SOLEDAD,8758,exact,99.00,True
ATLANTICO TUBARA,ATLANTICO TUBARA,8832,exact,99.00,True
"ATLÁNTICO, GALAPA",ATLANTICO GALAPA,8296,exact,99.00,True
AYAPEL,AYAPEL,23068,exact,100.00,True
AYAPEL-CORDOBA,AYAPEL CORDOBA,23068,exact,99.00,True
Abejorral,ABEJORRAL,5002,exact,100.00,True
Abejorral Antioquia,ABEJORRAL ANTIOQUIA,5002,exact,99.00,True
Abrego,ABREGO,54003,exact,100.00,True
Acacias,ACACIAS,50006,exact,100.00,True
Acacias  Meta,ACACIAS META,50006,exact,99.00,True
"Acacias ,",ACACIAS,50006,exact,100.00,True
"Acacias , Meta",ACACIAS META,50006,exact,99.00,True
Acacias Meta,ACACIAS META,50006,exact,99.00,True
"Acacias, Meta",ACACIAS META,50006,exact,99.00,True
Acacias- Meta,ACACIAS META,50006,exact,99.00,True
Acacias-Meta,ACACIAS META,50006,exact,99.00,True
Acacías ( Meta ),ACACIAS META,50006,exact,99.00,True
Acandí - Chocó,ACANDI CHOCO,27006,exact,99.00,True
Acevedo,ACEVEDO,41006,exact,100.00,True
Acevedo -Huila,ACEVEDO HUILA,41006,exact,99.00,True
Acevedo Huila,ACEVEDO HUILA,41006,exact,99.00,True
Agua De Dios Cundinamarca,AGUA DE DIOS CUNDINAMARCA,25001,exact,99.00,True
Agua de Dios,AGUA DE DIOS,25001,exact,100.00,True
Agua de Dios ( Cundinamarca ),AGUA DE DIOS CUNDINAMARCA,25001,exact,99.00,True
Agua de Dios( Cundinamarca ),AGUA DE DIOS CUNDINAMARCA,25001,exact,99.00,True
Aguachica,AGUACHICA,20011,exact,100.00,True
Aguachica  Cesar,AGUACHICA CESAR,20011,exact,99.00,True
"Aguachica , Cesar",AGUACHICA CESAR,20011,exact,99.00,True
Aguachica - Cesar,AGUACHICA CESAR,20011,exact,99.00,True
Aguazul - Casanare,AGUAZUL CASANARE,85010,exact,99.00,True
Aguazul Casanare,AGUAZUL CASANARE,85010,exact,99.00,True
Aguazul – Casanare,AGUAZUL CASANARE,85010,exact,99.00,True
Aguazul- Casanare,AGUAZUL CASANARE,85010,exact,99.00,True
"Aguazul- Casanare ,",AGUAZUL CASANARE,85010,exact,99.00,True
Agustín Codazzi,AGUSTIN CODAZZI,20013,exact,100.00,True
"Agustín Codazzi , Cesar",AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
Agustín Codazzi - Cesar,AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
Agustín Codazzi -Cesar,AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
Agustín Codazzi – Cesar,AGUSTIN CODAZZI CESAR,20013,exact,99.00,True
"Aipe , Huila",AIPE HUILA,41016,exact,99.00,True
"Albania , Santander",ALBANIA SANTANDER,68020,exact,97.00,True
"Albania , la Guajira",ALBANIA LA GUAJIRA,44035,exact,97.00,True
Albania - Caquetá,ALBANIA CAQUETA,18029,exact,97.00,True
Albania Caquetá,ALBANIA CAQUETA,18029,exact,97.00,True
"Albania, la Guajira",ALBANIA LA GUAJIRA,44035,exact,97.00,True
Aldana,ALDANA,52022,exact,100.00,True
Aldana - Nariño,ALDANA NARINO,52022,exact,99.00,True
Almeida,ALMEIDA,15022,exact,100.00,True
Alpujarra,ALPUJARRA,73024,exact,100.00,True
"Alpujarra , Tolima",ALPUJARRA TOLIMA,73024,exact,99.00,True
Alpujarra - Tolima,ALPUJARRA TOLIMA,73024,exact,99.00,True
Altamira Huila,ALTAMIRA HUILA,41026,exact,99.00,True
Altos Del Rosario,ALTOS DEL ROSARIO,13030,exact,100.00,True
"Altos Del Rosario , Bolívar",ALTOS DEL ROSARIO BOLIVAR,13030,exact,99.00,True
Altos Del Rosario- Bolivar,ALTOS DEL ROSARIO BOLIVAR,13030,exact,99.00,True
Alvarado,ALVARADO,73026,exact,100.00,True
Alvarado Tolima,ALVARADO TOLIMA,73026,exact,99.00,True
Amaga Antioquia,AMAGA ANTIOQUIA,5030,exact,99.00,True
Amalfi  Antioquia,AMALFI ANTIOQUIA,5031,exact,99.00,True
Anapoima,ANAPOIMA,25035,exact,100.00,True
Anapoima Cundinamarca,ANAPOIMA CUNDINAMARCA,25035,exact,99.00,True
"Anapoima Cundinamarca ,",ANAPOIMA CUNDINAMARCA,25035,exact,99.00,True
Andalucia Valle Del Cauca,ANDALUCIA VALLE DEL CAUCA,76036,exact,99.00,True
Anserma,ANSERMA,17042,exact,100.00,True
Ansermanuevo,ANSERMANUEVO,76041,exact,100.00,True
Antioquia Yondó,ANTIOQUIA YONDO,5893,exact,99.00,True
Anzoátegui - Tolima,ANZOATEGUI TOLIMA,73043,exact,99.00,True
Apulo,APULO,25599,exact,100.00,True
"Apía , Risaralda",APIA RISARALDA,66045,exact,99.00,True
Aquitania,AQUITANIA,15047,exact,100.00,True
Aratoca,ARATOCA,68051,exact,100.00,True
"Arauca ,",ARAUCA,81001,exact,100.00,True
Arauca - Arauca,ARAUCA ARAUCA,81001,exact,99.00,True
Arauca- Arauca,ARAUCA ARAUCA,81001,exact,99.00,True
Arauquita,ARAUQUITA,81065,exact,100.00,True
Arboledas,ARBOLEDAS,54051,exact,100.00,True
Arboletes,ARBOLETES,5051,exact,100.00,True
Arboletes Antioquia,ARBOLETES ANTIOQUIA,5051,exact,99.00,True
Arcabuco - Boyacá,ARCABUCO BOYACA,15051,exact,99.00,True
Arenal,ARENAL,13042,exact,100.00,True
Argelia Cauca,ARGELIA CAUCA,19050,exact,97.00,True
Arjona ( Bolívar ),ARJONA BOLIVAR,13052,exact,99.00,True
"Arjona , Bolívar",ARJONA BOLIVAR,13052,exact,99.00,True
"Arjona, bolivar",ARJONA BOLIVAR,13052,exact,99.00,True
Armenia  QUINDÍO,ARMENIA QUINDIO,63001,exact,97.00,True
"Armenia , Quindío",ARMENIA QUINDIO,63001,exact,97.00,True
"Armenia , Quindío .",ARMENIA QUINDIO,63001,exact,97.00,True
Armenia - Quindío,ARMENIA QUINDIO,63001,exact,97.00,True
Armenia Quindío .,ARMENIA QUINDIO,63001,exact,97.00,True
Armenia – Quindío,ARMENIA QUINDIO,63001,exact,97.00,True
Armenia-Quindío,ARMENIA QUINDIO,63001,exact,97.00,True
Astrea - Cesar,ASTREA CESAR,20032,exact,99.00,True
Astrea- Cesar,ASTREA CESAR,20032,exact,99.00,True
Astrea-Cesar,ASTREA CESAR,20032,exact,99.00,True
Ataco,ATACO,73067,exact,100.00,True
Ataco  - TOLIMA,ATACO TOLIMA,73067,exact,99.00,True
Ataco Tolima,ATACO TOLIMA,73067,exact,99.00,True
Ayapel,AYAPEL,23068,exact,100.00,True
Ayapel Cordoba,AYAPEL CORDOBA,23068,exact,99.00,True
BAHIA SOLANO,BAHIA SOLANO,27075,exact,100.00,True
BAHIA SOLANO CHOCO,BAHIA SOLANO CHOCO,27075,exact,99.00,True
BAHIA SOLANO-CHOCÓ,BAHIA SOLANO CHOCO,27075,exact,99.00,True
BAHÍA SOLANO - CHOCÓ,BAHIA SOLANO CHOCO,27075,exact,99.00,True
BAJO BAUDO,BAJO BAUDO,27077,exact,100.00,True
BAJO BAUDO CHOCO,BAJO BAUDO CHOCO,27077,exact,99.00,True
BAJO BAUDÓ - CHOCO,BAJO BAUDO CHOCO,27077,exact,99.00,True
BALBOA CAUCA,BALBOA CAUCA,19075,exact,97.00,True
BALBOA RISARALDA,BALBOA RISARALDA,66075,exact,97.00,True
BARANOA  ATLÁNTICO,BARANOA ATLANTICO,8078,exact,99.00,True
"BARANOA , ATLANTICO",BARANOA ATLANTICO,8078,exact,99.00,True
"BARANOA ,ATLANTICO",BARANOA ATLANTICO,8078,exact,99.00,True
BARANOA -ATLANTICO,BARANOA ATLANTICO,8078,exact,99.00,True
BARANOA ATLANTICO,BARANOA ATLANTICO,8078,exact,99.00,True
"BARANOA ATLANTICO ,",BARANOA ATLANTICO,8078,exact,99.00,True
BARANOA – ATLÁNTICO,BARANOA ATLANTICO,8078,exact,99.00,True
BARANOA-ATLANTICO,BARANOA ATLANTICO,8078,exact,99.00,True
