valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
Consejo Seccional de la Judicatura del Cauca,CONSEJO SECCIONAL DE LA JUDICATURA DEL CAUCA,CONSEJO SECCIONAL DE LA JUDICATURA DEL CAUCA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,50.85,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,43.75,15332,GÜICÁN DE LA SIERRA,BOYACÁ,42.11,CONSEJO SECCIONAL DE LA JUDICATURA DEL CAUCA,CAUCA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,50680,SAN CARLOS DE GUAROA,META,50.0,SAN CARLOS DE GUAROA,68211,CONTRATACIÓN,SANTANDER,50.0,CONTRATACION
Consejo Seccional de la Judicatura del Cesar,CONSEJO SECCIONAL DE LA JUDICATURA DEL CESAR,CONSEJO SECCIONAL DE LA JUDICATURA DEL CESAR,CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,50.85,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,43.75,15332,GÜICÁN DE LA SIERRA,BOYACÁ,42.11,CONSEJO SECCIONAL DE LA JUDICATURA DEL CESAR,CESAR,CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,20443,MANAURE BALCÓN DEL CESAR,CESAR,50.31,MANAURE BALCON DEL CESAR,50680,SAN CARLOS DE GUAROA,META,50.0,SAN CARLOS DE GUAROA
Consejo Superior de la Judicatura Consejo Seccional de la Judicatura de Antioquia,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,37.5,5664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,37.33,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,36.73,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA,ANTIOQUIA,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE,CONSEJO SUPERIOR JUDICATURA CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,43.9,SAN ANDRES DE CUERQUIA,05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,43.9,SAN JOSE DE LA MONTANA,05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,42.57,SAN PEDRO DE LOS MILAGROS
Consejo Superior de la Judicatura Consejo Seccional de la Judicatura de Santander,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE SANTANDER,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE SANTANDER,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,37.5,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,36.73,47161,CERRO DE SAN ANTONIO,MAGDALENA,35.16,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE SANTAN DER,SANTAN DER,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DE,CONSEJO SUPERIOR JUDICATURA CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,68684,SAN JOSÉ DE MIRANDA,SANTANDER,45.33,SAN JOSE DE MIRANDA,68211,CONTRATACIÓN,SANTANDER,43.29,CONTRATACION,68235,EL CARMEN DE CHUCURÍ,SANTANDER,42.21,EL CARMEN DE CHUCURI
Radicacionj10ejecmbta@cendoj.ramajudicial.gov.co,RADICACIONJ10EJECMBTA CENDOJ RAMAJUDICIAL GOV CO,RADICACIONJ10EJECMBTA CENDOJ RAMAJUDICIAL GOV CO,RADICACIONJ10EJECMBTA CENDOJ RAMAJUDICIAL GOV CO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,68720,SANTA HELENA DEL OPÓN,SANTANDER,34.78,25645,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,32.43,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,31.88,RADICACIONJ10EJECMBTA CENDOJ RAMAJUDICIAL GOV CO,,RADICACIONJ10EJECMBTA CENDOJ RAMAJUDICIAL GOV CO,RADICACIONJ10EJECMBTA CENDOJ RAMAJUDICIAL GOV CO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,38.36,PURISIMA DE LA CONCEPCION,05148,EL CARMEN DE VIBORAL,ANTIOQUIA,35.29,EL CARMEN DE VIBORAL,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,34.67,VILLA DE SAN DIEGO DE UBATE
cserejcmcgena@cendoj.ramajudicial.gov.co,CSEREJCMCGENA CENDOJ RAMAJUDICIAL GOV CO,CSEREJCMCGENA CENDOJ RAMAJUDICIAL GOV CO,CSEREJCMCGENA CENDOJ RAMAJUDICIAL GOV CO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,40.68,5148,EL CARMEN DE VIBORAL,ANTIOQUIA,36.67,68720,SANTA HELENA DEL OPÓN,SANTANDER,36.07,CSEREJCMCGENA CENDOJ RAMAJUDICIAL GOV CO,,CSEREJCMCGENA CENDOJ RAMAJUDICIAL GOV CO,CSEREJCMCGENA CENDOJ RAMAJUDICIAL GOV CO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,40.0,PURISIMA DE LA CONCEPCION,13001,CARTAGENA DE INDIAS,BOLÍVAR,37.29,CARTAGENA DE INDIAS,20400,LA JAGUA DE IBIRICO,CESAR,37.29,LA JAGUA DE IBIRICO
dirseccmarca-amazonas@cendoj.ramajudicial.gov.co,DIRSECCMARCA AMAZONAS CENDOJ RAMAJUDICIAL GOV CO,DIRSECCMARCA AMAZONAS CENDOJ RAMAJUDICIAL GOV CO,DIRSECCMARCA CENDOJ RAMAJUDICIAL GOV CO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27245,EL CARMEN DE ATRATO,CHOCÓ,37.93,5148,EL CARMEN DE VIBORAL,ANTIOQUIA,37.29,68720,SANTA HELENA DEL OPÓN,SANTANDER,36.67,DIRSECCMARCA AMAZONAS CENDOJ RAMAJUDICIAL GOV CO,AMAZONAS,DIRSECCMARCA CENDOJ RAMAJUDICIAL GOV CO,DIRSECCMARCA CENDOJ RAMAJUDICIAL GOV CO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,40.62,PURISIMA DE LA CONCEPCION,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,39.39,VILLA DE SAN DIEGO DE UBATE,20443,MANAURE BALCÓN DEL CESAR,CESAR,38.1,MANAURE BALCON DEL CESAR
j02cmpalpam@cendoj.ramajudicial.gov.co,J02CMPALPAM CENDOJ RAMAJUDICIAL GOV CO,J02CMPALPAM CENDOJ RAMAJUDICIAL GOV CO,J02CMPALPAM CENDOJ RAMAJUDICIAL GOV CO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,68524,PALMAS DEL SOCORRO,SANTANDER,39.29,13001,CARTAGENA DE INDIAS,BOLÍVAR,35.09,27245,EL CARMEN DE ATRATO,CHOCÓ,35.09,J02CMPALPAM CENDOJ RAMAJUDICIAL GOV CO,,J02CMPALPAM CENDOJ RAMAJUDICIAL GOV CO,J02CMPALPAM CENDOJ RAMAJUDICIAL GOV CO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,41.27,PURISIMA DE LA CONCEPCION,15218,COVARACHÍA,BOYACÁ,37.5,COVARACHIA,25154,CARMEN DE CARUPA,CUNDINAMARCA,37.04,CARMEN DE CARUPA
COINK S A SANTANDER,COINK S A SANTANDER,COINK S A SANTANDER,COINK S A,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,68209,CONFINES,SANTANDER,62.82,52207,CONSACÁ,NARIÑO,62.5,5150,CAROLINA,ANTIOQUIA,58.82,COINK S A SANTAN DER,SANTAN DER,COINK S A,COINK S A,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,68209,CONFINES,SANTANDER,66.82,CONFINES,13654,SAN JACINTO,BOLÍVAR,60.0,SAN JACINTO,68682,SAN JOAQUÍN,SANTANDER,58.0,SAN JOAQUIN
Consejo Seccional de la Judicatura del Huila,CONSEJO SECCIONAL DE LA JUDICATURA DEL HUILA,CONSEJO SECCIONAL DE LA JUDICATURA DEL HUILA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,50.85,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,43.75,15332,GÜICÁN DE LA SIERRA,BOYACÁ,42.11,CONSEJO SECCIONAL DE LA JUDICATURA DEL HUILA,HUILA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,50680,SAN CARLOS DE GUAROA,META,50.0,SAN CARLOS DE GUAROA,68211,CONTRATACIÓN,SANTANDER,50.0,CONTRATACION
Consejo Seccional de la Judicatura del Magdalena,CONSEJO SECCIONAL DE LA JUDICATURA DEL MAGDALENA,CONSEJO SECCIONAL DE LA JUDICATURA DEL MAGDALENA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,50.85,47660,SABANAS DE SAN ÁNGEL,MAGDALENA,45.38,47692,SAN SEBASTIÁN DE BUENAVISTA,MAGDALENA,44.0,CONSEJO SECCIONAL DE LA JUDICATURA DEL MAGDALENA,MAGDALENA,CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,50680,SAN CARLOS DE GUAROA,META,50.0,SAN CARLOS DE GUAROA,68211,CONTRATACIÓN,SANTANDER,50.0,CONTRATACION
Consejo Superior de la Judicatura Consejo Seccional de la Judicatura del Atlántico,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,37.11,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,36.36,47161,CERRO DE SAN ANTONIO,MAGDALENA,34.78,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,ATLANTICO,CONSEJO SUPERIOR DE LA JUDICATURA CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SUPERIOR JUDICATURA CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,39.51,PURISIMA DE LA CONCEPCION,50450,PUERTO CONCORDIA,META,38.89,PUERTO CONCORDIA,27250,EL LITORAL DEL SAN JUAN,CHOCÓ,37.97,EL LITORAL DEL SAN JUAN
Consejo Seccional de la Judicatura del Atlántico,CONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,CONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,CONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,50.85,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,43.75,15332,GÜICÁN DE LA SIERRA,BOYACÁ,42.11,CONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,ATLANTICO,CONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,44098,DISTRACCIÓN,LA GUAJIRA,51.28,DISTRACCION,08372,JUAN DE ACOSTA,ATLÁNTICO,50.86,JUAN DE ACOSTA,50680,SAN CARLOS DE GUAROA,META,50.0,SAN CARLOS DE GUAROA
Consejo Superior de la Judicatuconsejo Seccional de la Judicatura del Atlántico,CONSEJO SUPERIOR DE LA JUDICATUCONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,CONSEJO SUPERIOR DE LA JUDICATUCONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,CONSEJO SUPERIOR DE LA JUDICATUCONSEJO SECCIONAL DE LA JUDICATURA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,38.3,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,37.5,47161,CERRO DE SAN ANTONIO,MAGDALENA,35.96,CONSEJO SUPERIOR DE LA JUDICATUCONSEJO SECCIONAL DE LA JUDICATURA DEL ATLANTICO,ATLANTICO,CONSEJO SUPERIOR DE LA JUDICATUCONSEJO SECCIONAL DE LA JUDICATURA DEL,CONSEJO SUPERIOR JUDICATUCONSEJO SECCIONAL JUDICATURA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,15332,GÜICÁN DE LA SIERRA,BOYACÁ,41.67,GUICAN DE LA SIERRA,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,38.89,SAN JUAN DE RIOSECO,68684,SAN JOSÉ DE MIRANDA,SANTANDER,38.89,SAN JOSE DE MIRANDA
