valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo
"BOGOTÁ  , D. C.",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"BOGOTÁ , D.C.",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTÁ . D.C.,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTÁ D. C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"BOGOTÁ D. C. ,",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTÁ D.C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTÁ D.C - LOCALIDAD SUBA,BOGOTA DC LOCALIDAD SUBA,BOGOTA DC LOCALIDAD SUBA,BOGOTA LOCALIDAD SUBA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",58.06,19760,SOTARÁ PAISPAMBA,CAUCA,48.65,99624,SANTA ROSALÍA,VICHADA,47.06
BOGOTÁ D.C..,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOGOTÁ DC,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
BOLIVAR,BOLIVAR,BOLIVAR,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,19100,BOLÍVAR,CAUCA,100.00,68101,BOLÍVAR,SANTANDER,100.00,76100,BOLÍVAR,VALLE DEL CAUCA,100.00
BOLIVAR VALLE,BOLIVAR VALLE,BOLIVAR VALLE,VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76863,VERSALLES,VALLE DEL CAUCA,71.43,20001,VALLEDUPAR,CESAR,66.67,25875,VILLETA,CUNDINAMARCA,66.67
BOLIVAR VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73854,VALLE DE SAN JUAN,TOLIMA,60.00,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.00,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,57.78
BOLIVAR-VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73854,VALLE DE SAN JUAN,TOLIMA,60.00,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.00,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,57.78
BOOTÁ,BOOTA,BOOTA,BOOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,15755,SOCOTÁ,BOYACÁ,72.73,15097,BOAVITA,BOYACÁ,66.67,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",66.67
BUENA VENTURA,BUENA VENTURA,BUENA VENTURA,BUENA VENTURA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76109,BUENAVENTURA,VALLE DEL CAUCA,96.00,15109,BUENAVISTA,BOYACÁ,69.57,23079,BUENAVISTA,CÓRDOBA,69.57
BUGA,BUGA,BUGA,BUGA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27073,BAGADÓ,CHOCÓ,60.00,27800,UNGUÍA,CHOCÓ,60.00,5093,BETULIA,ANTIOQUIA,54.55
BUGA VALLE,BUGA VALLE,BUGA VALLE,BUGA VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76113,BUGALAGRANDE,VALLE DEL CAUCA,54.55,54313,GRAMALOTE,NORTE DE SANTANDER,52.63,5315,GUADALUPE,ANTIOQUIA,52.63
BUGA- VALLE DEL CAUCA,BUGA VALLE DEL CAUCA,BUGA VALLE DEL CAUCA,BUGA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27073,BAGADÓ,CHOCÓ,60.00,27800,UNGUÍA,CHOCÓ,60.00,5093,BETULIA,ANTIOQUIA,54.55
Bogotá,BOGOTA,BOGOTA,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bogotá  D.C.,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá ,",BOGOTA,BOGOTA,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá , D. C",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá , D. C.",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá , D. C. ,",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá , D.C",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá , D.C.",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá , D.C. ,",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bogotá .,BOGOTA,BOGOTA,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bogotá D. C.,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bogotá D.C,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá D.C ,",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bogotá D.C.,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
"Bogotá D.C. ,",BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bogotá D.C|,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bogotá DC .,BOGOTA DC,BOGOTA DC,BOGOTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",75.00,15755,SOCOTÁ,BOYACÁ,66.67,15097,BOAVITA,BOYACÁ,61.54
Bolívar  Valle del Cauca,BOLIVAR VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73854,VALLE DE SAN JUAN,TOLIMA,60.00,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.00,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,57.78
"Bolívar , Valle del Cauca",BOLIVAR VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73854,VALLE DE SAN JUAN,TOLIMA,60.00,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.00,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,57.78
"Bolívar , valle del cauca",BOLIVAR VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73854,VALLE DE SAN JUAN,TOLIMA,60.00,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.00,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,57.78
Bolívar - Valle,BOLIVAR VALLE,BOLIVAR VALLE,VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76863,VERSALLES,VALLE DEL CAUCA,71.43,20001,VALLEDUPAR,CESAR,66.67,25875,VILLETA,CUNDINAMARCA,66.67
Bolívar . Valle del Cauca,BOLIVAR VALLE DEL CAUCA,BOLIVAR VALLE DEL CAUCA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73854,VALLE DE SAN JUAN,TOLIMA,60.00,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.00,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,57.78
Bolívar- Valle,BOLIVAR VALLE,BOLIVAR VALLE,VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76863,VERSALLES,VALLE DEL CAUCA,71.43,20001,VALLEDUPAR,CESAR,66.67,25875,VILLETA,CUNDINAMARCA,66.67
Buga,BUGA,BUGA,BUGA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27073,BAGADÓ,CHOCÓ,60.00,27800,UNGUÍA,CHOCÓ,60.00,5093,BETULIA,ANTIOQUIA,54.55
Buga - Valle,BUGA VALLE,BUGA VALLE,BUGA VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76113,BUGALAGRANDE,VALLE DEL CAUCA,54.55,54313,GRAMALOTE,NORTE DE SANTANDER,52.63,5315,GUADALUPE,ANTIOQUIA,52.63
Buga - Valle del Cauca,BUGA VALLE DEL CAUCA,BUGA VALLE DEL CAUCA,BUGA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27073,BAGADÓ,CHOCÓ,60.00,27800,UNGUÍA,CHOCÓ,60.00,5093,BETULIA,ANTIOQUIA,54.55
Buga Valle,BUGA VALLE,BUGA VALLE,BUGA VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76113,BUGALAGRANDE,VALLE DEL CAUCA,54.55,54313,GRAMALOTE,NORTE DE SANTANDER,52.63,5315,GUADALUPE,ANTIOQUIA,52.63
Buga Valle del Cauca,BUGA VALLE DEL CAUCA,BUGA VALLE DEL CAUCA,BUGA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27073,BAGADÓ,CHOCÓ,60.00,27800,UNGUÍA,CHOCÓ,60.00,5093,BETULIA,ANTIOQUIA,54.55
CALDAS,CALDAS,CALDAS,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5129,CALDAS,ANTIOQUIA,100.00,15131,CALDAS,BOYACÁ,100.00,76020,ALCALÁ,VALLE DEL CAUCA,66.67
"CALDAS , ANTIOQUIA",CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
CALDAS - ANTIOQUIA,CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
"CALDAS, ANTIOQUIA",CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
CALENDARIA VALLE DEL CAUCA,CALENDARIA VALLE DEL CAUCA,CALENDARIA VALLE DEL CAUCA,CALENDARIA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76130,CANDELARIA,VALLE DEL CAUCA,84.00,5021,ALEJANDRÍA,ANTIOQUIA,80.00,8141,CANDELARIA,ATLÁNTICO,80.00
CALEVALLE DEL CAUCA,CALEVALLE DEL CAUCA,CALEVALLE DEL CAUCA,CALEVALLE DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,86865,VALLE DEL GUAMUEZ,PUTUMAYO,60.00,73622,RONCESVALLES,TOLIMA,56.00,68855,VALLE DE SAN JOSÉ,SANTANDER,53.33
CALI,CALI,CALI,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,80.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
"CALI , VALLE DEL CAUCA",CALI VALLE DEL CAUCA,CALI VALLE DEL CAUCA,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,84.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
CALI VALLE DEL CAUCA,CALI VALLE DEL CAUCA,CALI VALLE DEL CAUCA,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,84.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
CANDELARIA,CANDELARIA,CANDELARIA,CANDELARIA,,,,,,PENDIENTE,nombre oficial ambiguo sin departamento suficiente,8141,CANDELARIA,ATLÁNTICO,100.00,76130,CANDELARIA,VALLE DEL CAUCA,100.00,63130,CALARCÁ,QUINDÍO,70.59
CANDELARIA VALLE DELCAUCA,CANDELARIA VALLE DELCAUCA,CANDELARIA VALLE DELCAUCA,CANDELARIA VALLE DELCAUCA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,8141,CANDELARIA,ATLÁNTICO,57.14,76130,CANDELARIA,VALLE DEL CAUCA,57.14,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,56.52
CAUCACIA,CAUCACIA,CAUCACIA,CAUCACIA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5154,CAUCASIA,ANTIOQUIA,87.50,50006,ACACÍAS,META,80.00,15224,CUCAITA,BOYACÁ,80.00
"CUCUTA , NORTE DE SANTANDER",CUCUTA NORTE DE SANTANDER,CUCUTA NORTE DE SANTANDER,CUCUTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54223,CUCUTILLA,NORTE DE SANTANDER,84.00,15224,CUCAITA,BOYACÁ,76.92,25224,CUCUNUBÁ,CUNDINAMARCA,71.43
"CUCUTA , NORTE DESANTANDER",CUCUTA NORTE DESANTANDER,CUCUTA NORTE DESANTANDER,CUCUTA NORTE DESANTANDER,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54553,PUERTO SANTANDER,NORTE DE SANTANDER,65.00,5658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,52.17,23670,SAN ANDRÉS DE SOTAVENTO,CÓRDOBA,51.06
CUCUTA - NORTE DE SANTANDER,CUCUTA NORTE DE SANTANDER,CUCUTA NORTE DE SANTANDER,CUCUTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54223,CUCUTILLA,NORTE DE SANTANDER,84.00,15224,CUCAITA,BOYACÁ,76.92,25224,CUCUNUBÁ,CUNDINAMARCA,71.43
"Caldas ,Antioquia",CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
Caldas -Antioquia,CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
Caldas Ant,CALDAS ANT,CALDAS ANT,ANT,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25436,MANTA,CUNDINAMARCA,75.00,8436,MANATÍ,ATLÁNTICO,66.67,41306,GIGANTE,HUILA,60.00
Caldas Antioquia,CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
"Caldas Antioquia ,",CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
Caldas-Antioquia,CALDAS ANTIOQUIA,CALDAS ANTIOQUIA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,68.86,5145,CARAMANTA,ANTIOQUIA,60.00,5129,CALDAS,ANTIOQUIA,58.55
Cali,CALI,CALI,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,80.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
Cali ( Valle del Cauca ),CALI VALLE DEL CAUCA,CALI VALLE DEL CAUCA,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,84.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
"Cali ,",CALI,CALI,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,80.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
Cali - Valle Del Cauca,CALI VALLE DEL CAUCA,CALI VALLE DEL CAUCA,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,84.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
Cali -Valle Del Cauca,CALI VALLE DEL CAUCA,CALI VALLE DEL CAUCA,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,84.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
Cali-Valle Del Cauca,CALI VALLE DEL CAUCA,CALI VALLE DEL CAUCA,CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76126,CALIMA,VALLE DEL CAUCA,84.00,5885,YALÍ,ANTIOQUIA,75.00,5142,CARACOLÍ,ANTIOQUIA,66.67
Candelaria,CANDELARIA,CANDELARIA,CANDELARIA,,,,,,PENDIENTE,nombre oficial ambiguo sin departamento suficiente,8141,CANDELARIA,ATLÁNTICO,100.00,76130,CANDELARIA,VALLE DEL CAUCA,100.00,63130,CALARCÁ,QUINDÍO,70.59
Cucuta - N. De Santander,CUCUTA N DE SANTANDER,CUCUTA N DE SANTANDER,CUCUTA N DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54223,CUCUTILLA,NORTE DE SANTANDER,60.00,15224,CUCAITA,BOYACÁ,55.56,25224,CUCUNUBÁ,CUNDINAMARCA,52.63
CÚCUTA,CUCUTA,CUCUTA,CUCUTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54223,CUCUTILLA,NORTE DE SANTANDER,80.00,15224,CUCAITA,BOYACÁ,76.92,25224,CUCUNUBÁ,CUNDINAMARCA,71.43
CÚCUTA NORTE DE SANTANDER,CUCUTA NORTE DE SANTANDER,CUCUTA NORTE DE SANTANDER,CUCUTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54223,CUCUTILLA,NORTE DE SANTANDER,84.00,15224,CUCAITA,BOYACÁ,76.92,25224,CUCUNUBÁ,CUNDINAMARCA,71.43
"CÚCUTA, NORTE DE SANTANDER",CUCUTA NORTE DE SANTANDER,CUCUTA NORTE DE SANTANDER,CUCUTA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54223,CUCUTILLA,NORTE DE SANTANDER,84.00,15224,CUCAITA,BOYACÁ,76.92,25224,CUCUNUBÁ,CUNDINAMARCA,71.43
