"DM_INSTITUCION_COD_INSTITUCION","NOMBRE","CCB_NIT_INST","ORDEN","SUBORDEN","NIVEL_INSTITUCION","CLASIFICACION_ORGANICA","SECTOR","NATURALEZA_JURIDICA","TIPO_INSTITUCION","IDMUNICIPIO","MUNICIPIO","IDDEPARTAMENTO","DEPARTAMENTO","DIRECCION","FAX","EMAIL","CCB_TELEFONO","CCB_PAGINA_WEB","LONGITUD","LATITUD","ESTADO_INS","NOMBRE_REPRESENTANTE","CARGO_REPRESENTANTE"
"5415","PERSONERIA DE RIVERA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","615","RIVERA","41","HUILA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,259436","2,777781","ACTIVA",,
"8323","CONCEJO DE SAN MARTIN -- SAN MARTIN, META",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","689","SAN MARTÍN","50","META","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,697308","3,698492","ACTIVA",,
"8298","CONCEJO DE BELALCAZAR",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","88","BELALCÁZAR","17","CALDAS","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,804876","4,994942","ACTIVA",,
"1661","CONCEJO DE CURUMANI",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","228","CURUMANÍ","20","CESAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,542566","9,201062","ACTIVA",,
"5578","PERSONERIA DE EL DONCELLO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","247","EL DONCELLO","18","CAQUETÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,283335","1,680042","ACTIVA",,
"4932","PERSONERIA DE ANDES",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","34","ANDES","5","ANTIOQUIA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,879654","5,656421","ACTIVA",,
"8327","PERSONERIA DE SAN MARTIN -- SAN MARTIN, META",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","689","SAN MARTÍN","50","META","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,697308","3,698492","ACTIVA",,
"5381","PERSONERIA DE PRADERA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","563","PRADERA","76","VALLE DEL CAUCA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,242275","3,418186","ACTIVA",,
"5978","PERSONERIA DE SIMITI",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","744","SIMITÍ","13","BOLÍVAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,946404","7,957151","ACTIVA",,
"4953","PERSONERIA DE ATACO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","67","ATACO","73","TOLIMA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,381727","3,591068","ACTIVA",,
"4954","PERSONERIA DE ATRATO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","50","ATRATO","27","CHOCÓ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,618166","5,554906","ACTIVA",,
"4971","PERSONERIA DE BOJACA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","99","BOJACÁ","25","CUNDINAMARCA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,341776","4,732618","ACTIVA",,
"2132","CONCEJO DE EL PIÑON",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","258","EL PIÑÓN","47","MAGDALENA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,823769","10,404038","ACTIVA",,
"4936","PERSONERIA DE ANSERMA DE LOS CABALLEROS",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","42","ANSERMA","17","CALDAS","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,781831","5,242598","ACTIVA",,
"4939","PERSONERIA DE APARTADO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","45","APARTADÓ","5","ANTIOQUIA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,624692","7,882761","ACTIVA",,
"8189","PERSONERIA DE BELEN",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","83","BELÉN","52","NARIÑO","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-77,016446","1,595516","ACTIVA",,
"4912","PERSONERIA DE ACANDI",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","6","ACANDÍ","27","CHOCÓ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-77,27898","8,510109","ACTIVA",,
"8186","CONCEJO DE VENECIA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","861","VENECIA","5","ANTIOQUIA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,735417","5,963962","ACTIVA",,
"5000","PERSONERIA DE CAMPOALEGRE",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","132","CAMPOALEGRE","41","HUILA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,326642","2,685106","ACTIVA",,
"2112","CONCEJO DE EL CAIRO",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","246","EL CAIRO","76","VALLE DEL CAUCA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,222146","4,761034","ACTIVA",,
"1646","CONCEJO DE CONVENCION",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","206","CONVENCIÓN","54","NORTE DE SANTANDER","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,337007","8,470146","ACTIVA",,
"1659","CONCEJO DE CUMARIBO",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","773","CUMARIBO","99","VICHADA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-69,798685","4,444497","ACTIVA",,
"1608","CONCEJO DE CASTILLA LA NUEVA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","150","CASTILLA LA NUEVA","50","META","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,690164","3,827834","ACTIVA",,
"5343","PERSONERIA DE NARIÑO -- NARIÑO, NARIÑO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","480","NARIÑO","52","NARIÑO","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-77,358678","1,28984","ACTIVA",,
"4989","PERSONERIA DE CACHIRA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","128","CÁCHIRA","54","NORTE DE SANTANDER","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,048544","7,741865","ACTIVA",,
"5352","PERSONERIA DE OROCUE",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","230","OROCUÉ","85","CASANARE","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-71,339363","4,789388","ACTIVA",,
"5409","PERSONERIA DE RIO QUITO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","600","RÍO QUITO","27","CHOCÓ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,779817","5,538086","ACTIVA",,
"4899","PERSONERIA DE BELEN ANDAQUIES",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","94","BELÉN DE LOS ANDAQUÍES","18","CAQUETÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,872318","1,420014","ACTIVA",,
"5985","PERSONERIA DE SOLANO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","756","SOLANO","18","CAQUETÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,253555","0,699152","ACTIVA",,
"5986","PERSONERIA DE SOLITA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","785","SOLITA","18","CAQUETÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,62059","0,88022","ACTIVA",,
"2119","CONCEJO DE EL CHARCO",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","250","EL CHARCO","52","NARIÑO","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-78,110211","2,479311","ACTIVA",,
"4977","PERSONERIA DE BUCARASICA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","109","BUCARASICA","54","NORTE DE SANTANDER","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,86804","8,04081","ACTIVA",,
"1647","CONCEJO DE CORDOBA -- CORDOBA, BOLIVAR",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","212","CÓRDOBA","13","BOLÍVAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,827141","9,586792","ACTIVA",,
"4918","PERSONERIA DE ALBAN -- ALBAN, NARIÑO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","19","ALBÁN","52","NARIÑO","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-77,081636","1,473712","ACTIVA",,
"5323","PERSONERIA DE MONIQUIRA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","469","MONIQUIRÁ","15","BOYACÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,57359","5,875987","ACTIVA",,
"2011","CONCEJO DE SANTA LUCIA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","675","SANTA LUCÍA","8","ATLÁNTICO","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,961495","10,323959","ACTIVA",,
"4955","PERSONERIA DE AYAPEL",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","68","AYAPEL","23","CÓRDOBA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,140264","8,309285","ACTIVA",,
"4967","PERSONERIA DE BELEN BOYACA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","87","BELÉN","15","BOYACÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,910689","5,9894","ACTIVA",,
"1643","CONCEJO DE CONDOTO",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","205","CONDOTO","27","CHOCÓ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,652079","5,089546","ACTIVA",,
"1610","CONCEJO DE CEPITA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","160","CEPITÁ","68","SANTANDER","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,97241","6,75389","ACTIVA",,
"5984","PERSONERIA DE SOGAMOSO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","759","SOGAMOSO","15","BOYACÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,931129","5,716085","ACTIVA",,
"4956","PERSONERIA DE BAGADO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","73","BAGADÓ","27","CHOCÓ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,416372","5,41139","ACTIVA",,
"5359","PERSONERIA DE PAILITAS",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","517","PAILITAS","20","CESAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,626268","8,959667","ACTIVA",,
"1645","CONCEJO DE CONSACA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","207","CONSACÁ","52","NARIÑO","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-77,465658","1,207624","ACTIVA",,
"4894","PERSONERIA DE MAICAO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","430","MAICAO","44","LA GUAJIRA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,248517","11,378934","ACTIVA",,
"8324","CONCEJO DE NOROSI",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","490","NOROSÍ","13","BOLÍVAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,037018","8,528027","ACTIVA",,
"4963","PERSONERIA DE BARRANCAS",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","78","BARRANCAS","44","LA GUAJIRA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,795543","10,955642","ACTIVA",,
"1639","CONCEJO DE COLOMBIA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","206","COLOMBIA","41","HUILA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,802472","3,376614","ACTIVA",,
"4886","PERSONERIA DE GUARANDA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","265","GUARANDA","70","SUCRE","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,537025","8,46831","ACTIVA",,
"5439","PERSONERIA DE SAN FERNANDO",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","650","SAN FERNANDO","13","BOLÍVAR","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-74,327165","9,21758","ACTIVA",,
"5954","PERSONERIA DE SANTA MARIA -- SANTA MARIA, HUILA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","676","SANTA MARÍA","41","HUILA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,586386","2,939062","ACTIVA",,
"1627","CONCEJO DE CHITA",,"TERRITORIAL","MUNICIPAL","NO APLICA","CORPORACIÓN POLÍTICO ADMINISTRATIVA","NO APLICA","CONCEJO MUNICIPAL","NO APLICA","183","CHITA","15","BOYACÁ","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,471221","6,187241","ACTIVA",,
"4983","PERSONERIA DE BUGALAGRANDE",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","113","BUGALAGRANDE","76","VALLE DEL CAUCA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,155749","4,210851","ACTIVA",,
"5245","PERSONERIA DE GUAPI",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","318","GUAPI","19","CAUCA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-77,531","2,3411","ACTIVA",,
"4970","PERSONERIA DE BOCHALEMA",,"TERRITORIAL","MUNICIPAL","NO APLICA","ORGANOS DE CONTROL","NO APLICA","PERSONERÍA MUNICIPAL","NO APLICA","99","BOCHALEMA","54","NORTE DE SANTANDER","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-72,647352","7,612039","ACTIVA",,
"8381","EMPRESA DE SERVICIOS PUBLICOS DE ACUEDUCTO, ALCANTARILLADO Y ASEO DEL MUNICIPIO DE OCAMONTE",,"TERRITORIAL","MUNICIPAL","DESCENTRALIZADO","RAMA EJECUTIVA","NO APLICA","EMPRESAS DE SERVICIOS PUBLICOS DOMICILIARIOS - MIXTAS","NO APLICA","498","OCAMONTE","68","SANTANDER","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-73,122163","6,33978","ACTIVA",,
"8268","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE GIRALDO",,"TERRITORIAL","MUNICIPAL","DESCENTRALIZADO","RAMA EJECUTIVA","NO APLICA","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL","VINCULADAS","306","GIRALDO","5","ANTIOQUIA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-75,953096","6,680623","ACTIVA",,
"8240","FONDO MUNICIPAL DE VIVIENDA DE PUERTO TEJADA",,"TERRITORIAL","MUNICIPAL","DESCENTRALIZADO","RAMA EJECUTIVA","NO APLICA","ESTABLECIMIENTO PÚBLICO","ADSCRITAS","573","PUERTO TEJADA","19","CAUCA","{""bis"":false,""complemento"":""VACIA "",""direccionGenerada"":""VACIA""}",,,,"NO DISPONIBLE","-76,415465","3,22059","ACTIVA",,
